Stamp,Status,AT,B,K,NOe,OOe,Szb,Stmk,T,V,W
2020-05-06 07:30:00,Tested,292254,7847,11483,35997,43698,24790,33003,55574,13324,66538
2020-05-07 06:00:00,Confirmed,15652,330,411,2663,2263,1213,1785,3513,875,2599
2020-05-07 07:30:00,Deaths,609,11,13,95,57,36,134,106,19,138
2020-05-07 07:30:00,Hospitalisierung,360,4,5,76,32,58,38,30,6,111
2020-05-07 07:30:00,Intensivstation,92,1,3,28,7,7,7,17,3,19
2020-05-07 07:30:00,Recovered,13698,269,385,2370,2139,1140,1350,3275,833,1937
2020-05-07 07:30:00,Tested,297894,8078,11647,37010,44417,25320,33702,56188,13794,67738
2020-05-08 13:00:00,Confirmed,15714,330,411,2682,2265,1212,1792,3517,874,2631
2020-05-08 07:30:00,Deaths,614,11,13,95,57,36,135,107,19,141
2020-05-08 07:30:00,Hospitalisierung,339,6,3,73,28,50,38,29,3,109
2020-05-08 07:30:00,Intensivstation,81,0,2,28,4,7,6,14,2,18
2020-05-08 07:30:00,Recovered,13836,272,386,2394,2151,1142,1380,3284,835,1992
2020-05-08 07:30:00,Tested,304069,8145,11980,38048,45271,26080,34368,57044,14274,68859
